token_id,current_owner,known_label,in_idLookUp
60199,tz1W9ThvCcY7BDtEiSvdBuKPWuD9K8W89noh,,True
60200,KT1KUF5PQYJhUXQoHfNaGYekBGabmLtjQ9ks,KT1KUF5...Ja2A (contract),True
60201,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,,True
60202,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60203,tz1N9cFYCxfTL7pRJyWHoo7XgEqV5Fr4decD,,True
60204,tz1SpRwsAdsWshBeugtEaWD5PhesgzRvHVrn,,True
60206,tz1codeYURj5z49HKX9zmLHms2vJN2qDjrtt,,True
60207,tz1dQDwFrdZHTwZNn3aBi9e2Tiv1XbtMZP78,,True
60208,tz1ae2d1BJt7YUqaaec6Xenh3mBqS7VjSZtK,,True
60209,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60210,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60211,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60212,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60213,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60215,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,,True
60216,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60218,tz1dQDwFrdZHTwZNn3aBi9e2Tiv1XbtMZP78,,True
60219,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60220,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60221,tz1QTmKJgnJBfCjTSghsmaf6sM3Lk7Jwqzvh,,True
60224,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60225,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60226,tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,,True
60227,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60228,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60230,tz1YtADQDGF7EYc45aUR4ftMRCL3rgXkqwDK,,True
60231,tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,,True
60233,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60234,tz1UUSrrxHq647suLgAngWE481UTbzUonf9G,,True
60235,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60236,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60237,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60238,tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,,True
60239,tz2L4t9S9LjpR2ca6B869siiKe2Ymp3aQ4gg,,True
60240,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60241,tz1Lecmth8DZ53BwNTvSmPnM5e6sWgUY9Dto,,True
60242,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60243,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60244,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60245,tz1ehhHuAQXrdXukswG2PP7TnptsEfHDxbZK,,True
60246,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60247,tz1duafqHy827Aw6bbFNVqUbpxphm8MSecwU,,True
60248,tz2X5sXCbzQSYKdjgXvqKzTTpEqcEPdapXBs,,True
60249,tz1KfzRQePEM88mucnFxqUuaV9n4mEQE7ktf,,True
60250,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60251,tz1KfzRQePEM88mucnFxqUuaV9n4mEQE7ktf,,True
60252,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,,True
60253,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60254,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60255,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60256,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60257,tz1cRdKojFLNQraoWbqjVovvmgR8ogPXXdnc,,True
60258,tz1g5Pd8Z32hc3PR6LqDR1CoN5mp2r3aL57U,,True
60259,tz292bg3pHAWNoXu2F1uyRqajWqQn3K39Nyv,,True
60260,tz1N9cFYCxfTL7pRJyWHoo7XgEqV5Fr4decD,,True
60338,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60339,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60340,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60344,tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,,True
60346,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60348,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60349,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60350,tz1bNpCsGoX9eYjL1rKBLeQYmtWXB8RqGPdm,,True
60354,tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,,True
60355,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60356,tz1YFf88w1azuHnVVb7PriaRMcuDjQoit4kR,,True
60357,tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,,True
60358,tz1XQZVcQbSA56cf5ZKGGeM9jH4qzfwYL8rk,,True
60359,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60361,tz1RRqM5XLdH78PzEVLwiVsJY86ibpKt6EoA,,True
60362,tz1ir6dp9SGakCedZKTfdexzQ5G35RDdRWQH,,True
60363,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60366,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60367,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60368,tz1P6fFTp2ns9aPABp33g7XqkwNMBBevaVrN,,True
60369,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60370,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60371,tz1RRqM5XLdH78PzEVLwiVsJY86ibpKt6EoA,,True
60372,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60373,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60374,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60375,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60377,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60379,tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,,True
60380,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60381,tz1bKM4FRgAsGdDWzXs4o5HZdjBbLMbPBAA1,,True
